Activity Period;Operating Airline;Operating Airline IATA Code;Published Airline;Published Airline IATA Code;GEO Summary;GEO Region;Landing Aircraft Type;Aircraft Body Type;Aircraft Manufacturer;Aircraft Model;Aircraft Version;Landing Count;Total Landed Weight
200508;Icelandair;FI;Icelandair;FI;International;Europe;Passenger;Wide Body;Boeing;767;300ER;18;5,760,000
200508;Independence Air;DH;Independence Air;DH;Domestic;US;Passenger;Narrow Body;Airbus;A319;;93;12,815,400
200508;Japan Airlines;JL;Japan Airlines;JL;International;Asia;Freighter;Wide Body;Boeing;747;200;49;30,870,000
200508;Japan Airlines;JL;Japan Airlines;JL;International;Asia;Passenger;Wide Body;Boeing;747;400;31;19,530,000
200508;KLM Royal Dutch Airlines;KL;KLM Royal Dutch Airlines;KL;International;Europe;Passenger;Wide Body;Boeing;777;200;31;14,570,000
200508;Kalitta Air;K4;Kalitta Air;K4;Domestic;US;Freighter;Wide Body;Boeing;747;200;7;4,410,000
200508;Kitty Hawk Air Cargo;KR;Kitty Hawk Air Cargo;KR;Domestic;US;Freighter;Narrow Body;Boeing;727;200;6;974,500
200508;Kitty Hawk Air Cargo;KR;Kitty Hawk Air Cargo;KR;Domestic;US;Freighter;Narrow Body;Boeing;737;300;23;2,681,800
200508;Korean Air Lines;KE;Korean Air Lines;KE;International;Asia;Freighter;Wide Body;Boeing;747;400;4;2,612,000
200508;Korean Air Lines;KE;Korean Air Lines;KE;International;Asia;Freighter;Wide Body;Boeing;747;;27;17,604,000
200508;Korean Air Lines;KE;Korean Air Lines;KE;International;Asia;Passenger;Wide Body;Boeing;777;200;31;14,260,000
200508;Lufthansa German Airlines;LH;Lufthansa German Airlines;LH;International;Europe;Passenger;Wide Body;Boeing;747;430;31;19,530,000
